gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,year,numeric_rating,lt,xint
26023.0,2000-12-15,318724,Worldtex Inc.,Corporates,Consumer Products,USA,STDLONG,D,B,,1,2000,1,256.291,19.909
,2000-06-01,318823,"Iowa Select Farms L.P./ ISF Finance, Inc.",Corporates,Consumer Products,USA,STDLONG,SD,CC,,1,2000,2,,
,2000-11-20,318828,24 Hour Fitness,Corporates,Media & Entertainment,USA,FCLONG,B,B,,1,2000,9,,
109185.0,2000-01-25,318954,"Schein Pharmaceutical, Inc.",Corporates,Health Care,USA,STDLONG,B,B,,1,2000,9,360.447,20.0435
21332.0,2000-06-05,319005,American Architectural Products Corp.,Corporates,Building Materials,USA,STDLONG,D,CCC-,,1,2000,1,198.92966666666666,16.379
262106.0,2000-09-01,319143,Trench Electric B.V.,Corporates,Capital Goods,CAN,FCLONG,B,B,,1,2000,9,,
297013.0,2000-05-10,319388,"Grupo Azucarero Mexico, S.A. de C.V.",Corporates,Consumer Products,MEX,STDLONG,D,B-,,1,2000,1,301.2527066040595,33.94252493419062
,2000-04-07,319495,"Valle Energy Ventures, Inc.",Corporates,Multi,CYM,STDLONG,BBB,BBB-,,1,2000,15,,
,2000-09-28,319587,"Resort at Summerlin, L.P. (The)",Corporates,Hotels & Gaming,USA,STDLONG,D,CCC,,1,2000,1,,
128459.0,2000-09-28,319588,Resort at Summerlin Inc. (The),Corporates,Hotels & Gaming,USA,STDLONG,D,CCC,,1,2000,1,228.364,31.084
,2000-02-01,319791,La Quinta Co.,Corporates,Property & Real Estate,USA,FCLONG,BB-,BB-,,1,2000,11,,
,2000-08-14,319957,Prestolite Electric Inc.,Corporates,Automobiles & Components,USA,FCLONG,B-,B-,,1,2000,8,,
31007.0,2000-04-17,320004,Family Golf Centers Inc.,Corporates,Media & Entertainment,USA,STDLONG,D,CCC-,,1,2000,1,310.749,19.6315
30914.0,2000-04-04,320029,"CHS Electronics, Inc.",Corporates,Information Technology,USA,STDLONG,D,CCC,,1,2000,1,2723.634,71.373
121533.0,2000-03-21,320112,"Phase Metrics, Inc.",Corporates,Information Technology,USA,STDLONG,D,B-,,1,2000,1,149.49650000000003,14.1325
,2000-11-15,320137,Tokyu Land Corp.,Corporates,Property & Real Estate,JPN,STDLONG,B-pi,B,,1,2000,8,,
16301.0,2000-11-15,320138,Tokyo Tatemono Co. Ltd.,Corporates,Property & Real Estate,JPN,STDLONG,B+pi,B,,1,2000,10,3561.766518232395,75.96204902988423
