gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,date_column,year,numeric_rating,countryrating,ch,wcap,ICOV,ROA,LDTC,SDTD,OM,Z_score,xint,lt
,2000-06-08,103766,Nestle Holdings Inc.,Corporates,Consumer Products,USA,FCLONG,AAA,,,1,2000-06-08,2000,23,,,,,,,,,,,
,2005-11-16,103829,Ohio Valley Electric Corp.,Corporates,Electric,USA,STDLONG,BBB-,,,1,2005-11-16,2005,14,19.428571428571427,,,,,,,,,,
139804.0,2006-10-06,103852,TTM Technologies Inc.,Corporates,Information Technology,USA,STDLONG,BB-,NR,,1,2006-10-06,2006,11,19.466666666666665,42.89433333333333,82.07366666666667,48.66040589093862,0.08974077939989084,0.005396950310166766,0.9332387691448275,0.11508217843929418,10.975494614382088,0.48200000000000004,26.955
222111.0,2007-01-18,103887,Petroleo Brasileiro S.A. - Petrobras,Corporates,Energy,BRA,STDLONG,BBB-,,,1,2007-01-18,2007,14,14.3,1091.2001149302732,1442.189,8.207245930167213,0.1198877118681746,0.21729699952207757,0.3860411390197495,0.2653967694246551,2.842655414136661,1807.0,45582.666666666664
,2003-09-05,104177,Sumitomo Corp. of Americas,Corporates,Capital Goods,USA,FCLONG,BBB+,,,1,2003-09-05,2003,16,21.285714285714285,,,,,,,,,,
6528.0,2013-08-27,105235,LSB Industries Inc.,Corporates,Chemicals,USA,FCLONG,B+,,,1,2013-08-27,2013,10,16.573033707865168,96.63166666666666,184.20266666666666,15.416733463638414,0.1149577974884386,0.16966908961240765,0.4725463395400267,0.11766759040941961,4.776373382474514,6.107333333333333,213.155
10816.0,2006-06-01,105334,USG Corp.,Corporates,Building Materials,USA,STDLONG,D,NR,,1,2006-06-01,2006,1,19.466666666666665,797.3333333333334,1294.3333333333333,48.66040589093862,-0.04291835823091079,8.774238834781082e-05,0.13379928781617242,0.10718379470449425,1.8875923793275409,5.333333333333333,4269.333333333333
1382.0,2003-04-09,105341,US Airways Group Inc.,Corporates,Transportation,USA,STDLONG,B,NR,,1,2003-04-09,2003,9,21.285714285714285,212.251,-138.55366666666666,-2.9475080404327465,-0.11960413067419536,0.24340888612570924,0.5708511167978466,-0.06705906360869414,1.286608783865396,46.24666666666666,1106.9276666666667
3946.0,2016-05-11,105804,Diebold Nixdorf Inc.,Corporates,Information Technology,USA,STDLONG,BB-,,,1,2016-05-11,2016,11,16.573033707865168,288.7753333333333,659.0736666666667,4.691831782307626,-0.000518181987087305,0.23490139316185454,0.5579726369467081,0.052368163710370584,2.902286931194606,31.051333333333332,1721.241
210479.0,2001-01-24,105996,Renault S.A.,Corporates,Automobiles & Components,FRA,FCLONG,BBB,,,1,2001-01-24,2001,15,16.333333333333332,1091.2001149302732,1226.2490606891429,5.298725486775072,0.022556222832188333,0.14918614425505608,0.7028534314149552,0.04296783622933317,1.1811129562680842,322.4737276006938,37198.346082732976
