gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,date_column,year,numeric_rating,countryrating
10150.0,2024-03-12,109950,Chromalloy Corporation,Corporates,Capital Goods,USA,FCLONG,B,NR,,N,2024-03-12,2024,9,16.573033707865168
1075.0,2000-09-28,109991,Pinnacle West Capital Corp.,Corporates,Electric,USA,FCLONG,BBB,,,N,2000-09-28,2000,15,
3504.0,2004-10-01,110055,Cooper Cos. Inc.,Corporates,Health Care,USA,STDLONG,BB,,,N,2004-10-01,2004,12,20.11111111111111
,2004-11-16,110062,AMI Holdings Inc.,Corporates,Information Technology,USA,STDLONG,B+,,,N,2004-11-16,2004,10,20.11111111111111
13657.0,2001-04-02,110148,Alliance HealthCare Services,Corporates,Health Care,USA,STDLONG,B+,NR,,N,2001-04-02,2001,10,21.285714285714285
2184.0,2001-06-21,110170,Best Buy Co. Inc.,Corporates,Retailing,USA,STDLONG,BBB-,NR,,N,2001-06-21,2001,14,21.285714285714285
,2010-11-10,110434,The Rouse Company L.P.,Corporates,Property & Real Estate,USA,FCLONG,BB,NR,,N,2010-11-10,2010,12,15.691176470588236
,2002-01-03,110534,Longview Fibre Co.,Corporates,Containers & Packaging,USA,STDLONG,BB,,,N,2002-01-03,2002,12,21.285714285714285
12246.0,2014-05-08,110547,Anchor Glass Container Corp.,Corporates,Containers & Packaging,USA,STDLONG,B+,,,N,2014-05-08,2014,10,16.573033707865168
148272.0,2001-10-26,110556,La Quinta Properties Inc.,Corporates,Hotels & Gaming,USA,FCLONG,BB-,,,N,2001-10-26,2001,11,21.285714285714285
,2001-02-05,110683,Olivetti SpA,Corporates,Telecom Services,ITA,FCLONG,BBB,,,N,2001-02-05,2001,15,18.8
7974.0,2000-10-24,111243,NiSource Inc.,Corporates,Multi,USA,FCLONG,BBB,,,N,2000-10-24,2000,15,
15172.0,2003-03-05,111294,Fiat SpA,Corporates,Automobiles & Components,ITA,STDLONG,BB+,,,N,2003-03-05,2003,13,18.88372093023256
12785.0,2010-12-02,111507,Pilgrim's Pride Corp.,Corporates,Consumer Products,USA,FCLONG,BB-,NR,,N,2010-12-02,2010,11,15.691176470588236
12102.0,2001-09-04,111612,Arahova,Corporates,Media & Entertainment,USA,STDLONG,BB-,NR,,N,2001-09-04,2001,11,21.285714285714285
13536.0,2003-09-11,111620,American Health Properties Inc.,Corporates,Property & Real Estate,USA,STDLONG,BBB+,NR,,N,2003-09-11,2003,16,21.285714285714285
15258.0,2003-08-12,111643,BP Canada Energy Co.,Corporates,Energy,CAN,STDLONG,AA+,NR,,N,2003-08-12,2003,22,20.016339869281047
,2009-05-01,111653,New Jersey-American Water Co.,Corporates,Water,USA,STDLONG,BBB+,NR,,N,2009-05-01,2009,16,17.927272727272726
7260.0,2018-01-04,111686,Meredith Corp.,Corporates,Media & Entertainment,USA,FCLONG,B+,,,N,2018-01-04,2018,10,16.573033707865168
,2000-01-19,111880,National Railroad Passenger Corp. (Amtrak),Corporates,Transportation,USA,STDLONG,BBB,,,N,2000-01-19,2000,15,
266077.0,2011-12-21,112050,Toll Corp.,Corporates,Homebuilding,USA,FCLONG,BB+,,,N,2011-12-21,2011,13,15.727272727272727
6034.0,2020-11-09,112222,Interface Inc.,Corporates,Commercial & Professional Services,USA,STDLONG,BB-,NR,EE|UKE,Y,2020-11-09,2020,11,16.573033707865168
1690.0,2013-04-23,112354,Apple Inc.,Corporates,Information Technology,USA,STDLONG,AA+,NR,EE|UKE,Y,2013-04-23,2013,22,16.573033707865168
14447.0,2002-04-26,113025,LVMH Moet Hennessy Louis Vuitton S.E.,Corporates,Consumer Products,FRA,STDLONG,BBB+,,,N,2002-04-26,2002,16,19.058823529411764
15346.0,2004-09-22,113081,Loehmann's Holdings Inc.,Corporates,Retailing,USA,STDLONG,B,,,N,2004-09-22,2004,9,20.11111111111111
,2011-12-09,113276,ABB Finance B.V.,Corporates,Capital Goods,NLD,FCLONG,A,,,N,2011-12-09,2011,18,23.0
13556.0,2000-08-10,113344,Thales S.A.,Corporates,Aerospace & Defense,FRA,FCLONG,A-,,,N,2000-08-10,2000,17,
30198.0,2004-01-20,113485,Victor Technologies Group Inc.,Corporates,Capital Goods,USA,STDLONG,B+,NR,,N,2004-01-20,2004,10,20.11111111111111
,2010-06-21,113565,Interactive Data Corp.,Corporates,Media & Entertainment,USA,STDLONG,B,,,N,2010-06-21,2010,9,15.691176470588236
12589.0,2006-04-11,113572,Encompass Health Corp.,Corporates,Health Care,USA,STDLONG,B,NR,,N,2006-04-11,2006,9,19.466666666666665
100522.0,2003-09-05,113581,Mitsui Fudosan Co. Ltd.,Corporates,Property & Real Estate,JPN,FCLONG,BBB-,,,N,2003-09-05,2003,14,20.608695652173914
5560.0,2013-04-04,113752,Hecla Mining Co.,Corporates,Metals & Mining,USA,FCLONG,B,NR,,N,2013-04-04,2013,9,16.573033707865168
,2001-12-11,113765,New York Water Service Corp.,Corporates,Water,USA,STDLONG,BBB,,,N,2001-12-11,2001,15,21.285714285714285
160681.0,2002-04-18,113946,"Hyster-Yale, Inc.",Corporates,Capital Goods,USA,FCLONG,BB-,,,N,2002-04-18,2002,11,21.285714285714285
5581.0,2015-03-12,113993,Helmerich & Payne Inc.,Corporates,Energy,USA,FCLONG,BBB+,,,N,2015-03-12,2015,16,16.573033707865168
6216.0,2023-02-07,114429,Jacobs Engineering Group Inc.,Corporates,Commercial & Professional Services,USA,STDLONG,BBB-,,EE|UKE,Y,2023-02-07,2023,14,16.573033707865168
5400.0,2002-08-20,114480,HCC Industries Inc.,Corporates,Information Technology,USA,STDLONG,CCC,NR,,N,2002-08-20,2002,6,21.285714285714285
8823.0,2011-12-21,114515,PulteGroup Inc.,Corporates,Homebuilding,USA,FCLONG,BB-,,,N,2011-12-21,2011,11,15.727272727272727
10232.0,2001-09-24,114584,Symbol Technologies Inc.,Corporates,Information Technology,USA,STDLONG,BB,,,N,2001-09-24,2001,12,21.285714285714285
15520.0,2014-05-12,114636,Signet Jewelers Ltd.,Corporates,Retailing,BMU,STDLONG,BBB-,,,N,2014-05-12,2014,14,20.0
25493.0,2002-11-01,114640,Rexnord LLC,Corporates,Capital Goods,USA,STDLONG,B+,,,N,2002-11-01,2002,10,21.285714285714285
,2011-10-18,114866,J.M. Huber Corp.,Corporates,Chemicals,USA,FCLONG,BB-,,,N,2011-10-18,2011,11,15.727272727272727
9831.0,2011-06-17,114869,South Jersey Industries Inc.,Corporates,Gas,USA,STDLONG,BBB+,,,N,2011-06-17,2011,16,15.727272727272727
